"CaseMasterID","PoliceStationID","CaseStatusID","CrimeRegisteredDate"
"463","359","1","2025-02-18"
"464","153","2","2024-09-25"
"465","813","1","2025-03-20"
"466","175","4","2023-05-31"
"467","341","2","2026-07-10"
"468","1004","1","2026-06-09"
"469","315","3","2025-12-19"
"470","626","1","2023-01-19"
"471","606","4","2023-07-16"
"472","482","2","2024-12-17"
"473","735","2","2025-12-28"
"474","626","1","2024-11-09"
"475","1053","3","2024-02-05"
"476","1108","3","2025-11-29"
"477","226","1","2023-03-30"
"478","1018","2","2024-11-06"
"479","697","1","2023-09-24"
"480","643","1","2025-01-23"
"481","30","4","2025-05-07"
"482","639","3","2024-03-19"
"483","691","2","2023-02-17"
"484","474","4","2026-04-19"
"485","664","3","2025-10-02"
"486","902","1","2023-11-15"
"487","314","1","2026-01-22"
"488","823","1","2025-02-13"
"489","1070","1","2025-06-20"
"490","671","3","2023-05-18"
"491","747","3","2026-07-02"
"492","751","4","2023-07-10"
"493","1058","1","2025-11-08"
"494","146","2","2025-12-30"
"495","336","1","2026-03-22"
"496","370","2","2023-06-15"
"497","7","1","2024-11-03"
"498","279","1","2023-09-28"
"499","332","3","2024-08-05"
"500","1070","3","2023-12-27"
"501","1107","1","2026-02-11"
"502","15","1","2025-04-12"
"503","260","3","2023-12-15"
"504","142","3","2025-01-06"
"505","60","3","2023-01-22"
"506","462","2","2024-05-16"
"507","44","2","2023-09-22"
"508","153","3","2026-02-19"
"509","278","1","2025-08-27"
"510","741","2","2023-12-04"
"511","141","3","2024-02-18"
"512","594","2","2026-04-27"
"513","424","3","2023-07-12"
"514","62","3","2023-08-18"
"515","312","2","2024-04-08"
"516","813","1","2025-03-24"
"517","11","3","2026-03-29"
"518","67","2","2024-06-12"
"519","758","3","2025-06-18"
"520","529","2","2023-12-26"
"521","848","2","2023-10-09"
"522","532","1","2023-02-09"
"523","975","1","2024-12-25"
"524","997","1","2023-07-06"
"525","503","2","2024-10-03"
"526","569","1","2023-05-30"
"527","1015","1","2025-07-27"
"528","825","1","2025-12-20"
"529","1008","1","2024-09-15"
"530","306","1","2023-05-05"
"531","703","2","2023-10-28"
"532","449","1","2025-10-15"
"533","403","1","2023-09-11"
"534","731","2","2024-09-21"
"535","1061","1","2024-03-21"
"536","183","2","2023-01-02"
"537","110","4","2023-11-03"
"538","197","2","2026-04-03"
"539","1016","2","2023-07-18"
"540","180","2","2026-02-06"
"541","734","4","2024-05-29"
"542","614","1","2026-04-18"
"543","144","1","2026-02-27"
"544","194","2","2026-01-14"
"545","749","2","2023-02-05"
"546","372","2","2025-04-28"
"547","401","3","2023-05-02"
"548","28","3","2024-06-02"
"549","998","1","2024-06-12"
"550","586","2","2025-10-11"
"551","846","3","2025-09-16"
"552","658","2","2025-12-06"
"553","306","2","2024-05-11"
"554","236","1","2025-05-24"
"555","306","2","2024-10-06"
"556","264","3","2026-01-11"
"557","169","1","2024-06-10"
"558","747","3","2026-01-16"
"559","84","4","2025-06-18"
"560","332","1","2026-01-30"
"561","824","2","2025-04-01"
"562","517","2","2026-07-05"
"563","430","3","2025-01-09"
"564","685","2","2024-09-22"
"565","75","2","2026-04-11"
"566","422","3","2026-07-04"
"567","719","3","2026-05-02"
"568","1074","3","2026-06-05"
"569","60","1","2025-08-30"
"570","808","4","2025-06-03"
"571","894","1","2023-04-02"
"572","376","3","2025-04-19"
"573","509","1","2025-10-17"
"574","618","1","2025-06-22"
"575","1037","3","2024-05-16"
"576","762","2","2025-06-11"
"577","369","1","2025-08-06"
"578","114","4","2024-09-08"
"579","996","4","2023-10-25"
"580","867","2","2026-06-24"
"581","1040","1","2023-10-02"
"582","946","3","2024-06-27"
"583","414","1","2024-07-19"
"584","188","1","2023-03-03"
"585","1119","3","2024-12-18"
"586","484","2","2026-01-17"
"587","985","3","2024-07-23"
"588","795","2","2025-12-14"
"589","285","1","2026-03-26"
"590","1067","3","2024-10-31"
"591","981","4","2025-05-19"
"592","282","4","2023-04-14"
"593","382","1","2025-09-30"
"594","833","1","2025-01-11"
"595","942","1","2023-08-14"
"596","863","3","2025-07-24"
"597","171","1","2025-12-06"
"598","811","3","2024-06-26"
"599","109","2","2023-01-06"
"600","223","2","2025-07-18"
"601","528","4","2024-09-06"
"602","133","1","2023-09-06"
"603","206","2","2023-08-04"
"604","545","2","2025-12-11"
"605","873","2","2026-03-29"
"606","483","1","2024-11-05"
"607","17","2","2024-05-15"
"608","324","2","2023-04-13"
"609","299","2","2025-09-23"
"610","844","1","2024-08-09"
"611","698","1","2024-06-14"
"612","692","1","2025-06-12"
"613","122","3","2024-11-05"
"614","345","1","2025-04-24"
"615","853","1","2024-10-01"
"616","516","2","2025-03-19"
"617","1097","1","2025-10-07"
"618","1010","1","2023-10-24"
"619","941","3","2026-01-29"
"620","7","2","2025-10-12"
"621","736","1","2024-07-23"
"622","879","3","2024-04-14"
"623","472","3","2024-12-24"
"624","532","3","2023-02-23"
"625","964","3","2025-12-27"
"626","135","2","2023-01-25"
"627","437","2","2026-05-27"
"628","825","1","2024-09-30"
"629","112","3","2025-08-16"
"630","636","2","2025-10-09"
"631","29","3","2024-04-17"
"632","249","1","2023-08-04"
"633","678","1","2024-03-06"
"634","897","1","2024-05-15"
"635","637","1","2023-03-06"
"636","924","3","2024-03-09"
"637","278","2","2025-03-10"
"638","456","1","2023-10-17"
"639","498","2","2025-05-25"
"640","574","3","2023-02-18"
"641","78","2","2025-09-03"
"642","1069","1","2025-02-28"
"643","106","3","2025-09-02"
"644","1070","4","2026-04-11"
"645","1077","1","2026-01-07"
"646","597","1","2025-03-16"
"647","920","2","2024-06-09"
"648","302","2","2024-06-13"
"649","289","1","2025-01-15"
"650","436","1","2025-04-14"
"651","1000","1","2024-09-24"
"652","1031","3","2025-10-22"
"653","284","2","2023-01-14"
"654","819","2","2025-02-01"
"655","565","2","2023-10-18"
"656","41","2","2023-06-11"
"657","935","4","2023-07-02"
"658","863","2","2023-12-11"
"659","85","3","2026-07-22"
"660","567","1","2023-01-30"
"661","9","4","2024-09-11"
"662","635","4","2026-02-15"
"663","456","2","2024-05-26"
"664","364","2","2023-03-10"
"665","97","1","2026-07-08"
"666","633","3","2025-08-05"
"667","1055","2","2025-01-20"
"668","287","1","2023-06-30"
"669","318","2","2024-01-02"
"670","938","1","2026-07-01"
"671","875","2","2023-12-05"
"672","611","1","2026-05-12"
"673","664","1","2025-05-04"
"674","158","1","2025-02-28"
"675","375","2","2026-06-28"
"676","986","1","2023-08-21"
"677","1065","2","2023-01-20"
"678","924","1","2025-02-26"
"679","887","4","2025-08-17"
"680","693","2","2024-03-03"
"681","49","1","2025-07-09"
"682","57","3","2025-05-24"
"683","901","2","2026-03-06"
"684","687","2","2025-04-13"
"685","279","2","2024-10-22"
"686","868","1","2024-02-05"
"687","970","3","2024-05-24"
"688","363","3","2025-05-01"
"689","166","3","2026-07-17"
"690","738","1","2024-05-06"
"691","1096","4","2025-02-25"
"692","546","1","2025-06-15"
"693","1123","2","2024-08-27"
"694","1004","1","2026-05-31"
"695","649","1","2023-01-10"
"696","268","2","2024-07-22"
"697","106","2","2023-06-18"
"698","538","1","2023-07-03"
"699","1080","1","2026-05-11"
"700","474","3","2023-05-06"
"701","847","3","2025-10-18"
"702","228","2","2023-08-09"
"703","627","4","2025-11-04"
"704","740","1","2025-11-04"
"705","601","1","2024-09-03"
"706","868","3","2025-09-30"
"707","592","3","2024-01-02"
"708","89","1","2026-03-04"
"709","639","2","2026-02-16"
"710","161","1","2025-05-14"
"711","395","2","2023-01-25"
"712","424","3","2024-10-27"
"713","132","2","2023-07-30"
"714","570","1","2023-03-05"
"715","599","3","2026-01-14"
"716","903","3","2025-04-27"
"717","158","2","2024-05-01"
"718","851","3","2025-02-23"
"719","812","4","2025-09-03"
"720","397","1","2026-04-21"
"721","280","1","2026-04-22"
"722","924","2","2024-03-05"
"723","213","3","2023-06-27"
"724","339","1","2025-12-08"
"725","917","1","2023-01-18"
"726","927","3","2025-10-07"
"727","849","3","2025-09-03"
"728","588","3","2025-05-11"
"729","737","1","2023-10-11"
"730","774","2","2026-04-02"
"731","360","1","2024-04-01"
"732","325","3","2025-10-31"
"733","898","1","2025-03-02"
"734","1053","2","2023-01-30"
"735","652","2","2024-09-18"
"736","858","1","2026-04-25"
"737","521","3","2023-01-29"
"738","340","1","2024-08-22"
"739","489","1","2023-04-21"
"740","96","4","2025-11-21"
"741","147","3","2025-08-23"
"742","1059","3","2026-05-01"
"743","138","1","2024-05-23"
"744","558","1","2025-09-29"
"745","1109","1","2026-04-03"
"746","860","3","2025-07-09"
"747","827","1","2025-10-08"
"748","996","3","2023-11-22"
"749","499","3","2025-09-18"
"750","718","4","2025-02-11"
"751","946","1","2025-03-25"
"752","68","1","2024-01-14"
"753","569","3","2024-03-29"
"754","23","4","2024-12-13"
"755","915","3","2025-01-13"
"756","884","4","2024-11-17"
"757","245","3","2023-10-06"
"758","454","2","2024-11-29"
"759","106","3","2025-07-25"
"760","433","1","2023-02-16"
"761","847","2","2023-07-22"
"762","402","4","2023-12-31"
"763","68","3","2023-11-26"
"764","489","3","2023-09-11"
"765","356","3","2025-03-18"
"766","191","1","2023-07-24"
"767","786","1","2026-03-26"
"768","277","1","2023-05-13"
"769","48","3","2023-03-03"
"770","991","1","2024-08-23"
"771","267","1","2025-03-05"
"772","808","2","2025-03-15"
"773","22","1","2025-08-29"
"774","684","2","2025-03-18"
"775","114","1","2024-09-07"
"776","787","1","2026-06-01"
"777","988","1","2023-06-21"
"778","896","2","2024-02-04"
"779","738","1","2024-10-19"
"780","656","3","2025-12-20"
"781","303","2","2023-11-16"
"782","268","2","2025-05-03"
"783","519","4","2024-06-21"
"784","167","2","2026-01-27"
"785","838","4","2023-09-15"
"786","300","1","2025-09-02"
"787","56","3","2023-06-17"
"788","906","1","2023-12-04"
"789","373","2","2023-05-13"
"790","1084","1","2025-01-31"
"791","725","3","2023-01-25"
"792","621","2","2026-04-02"
"793","77","2","2025-02-26"
"794","834","3","2025-04-02"
"795","918","3","2024-03-07"
"796","789","3","2023-11-11"
"797","193","1","2025-05-18"
"798","527","4","2023-06-26"
"799","554","2","2023-01-07"
"800","14","4","2025-01-23"
"801","920","2","2025-07-04"
"802","1034","1","2024-06-17"
"803","1049","3","2023-02-02"
"804","774","3","2025-05-23"
"805","1017","2","2023-02-06"
"806","405","3","2026-03-30"
"807","355","1","2023-10-04"
"808","749","2","2023-02-04"
"809","410","3","2024-03-03"
"810","742","3","2023-03-01"
"811","1080","3","2025-02-09"
"812","1016","2","2026-07-02"
"813","153","1","2024-02-22"
"814","76","2","2023-08-21"
"815","305","1","2024-08-18"
"816","113","2","2024-04-04"
"817","437","2","2025-09-01"
"818","628","2","2025-10-17"
"819","815","3","2026-02-14"
"820","353","2","2024-08-12"
"821","681","1","2026-05-19"
"822","634","1","2023-11-06"
"823","459","2","2025-03-20"
"824","91","3","2023-12-31"
"825","421","2","2025-09-09"
"826","347","3","2024-09-19"
"827","1056","4","2025-09-22"
"828","390","2","2024-06-07"
"829","738","2","2024-10-19"
"830","643","2","2024-10-19"
"831","357","2","2023-04-10"
"832","736","1","2024-09-25"
"833","679","3","2023-06-12"
"834","794","3","2024-01-22"
"835","1111","3","2024-04-11"
"836","317","1","2024-08-15"
"837","931","2","2023-09-09"
"838","862","3","2025-07-05"
"839","1103","2","2024-10-18"
"840","21","2","2025-07-09"
"841","628","3","2024-06-25"
"842","684","1","2023-02-14"
"843","577","2","2023-07-20"
"844","473","2","2026-02-26"
"845","665","2","2023-04-20"
"846","1047","3","2024-05-18"
"847","781","3","2024-10-04"
"848","574","4","2024-05-25"
"849","1047","3","2024-09-10"
"850","352","4","2025-04-27"
"851","621","3","2024-11-25"
"852","1025","3","2025-04-29"
"853","1124","1","2025-02-20"
"854","851","1","2023-12-29"
"855","941","3","2023-06-21"
"856","421","2","2023-01-22"
"857","1093","3","2026-01-09"
"858","816","2","2024-05-08"
"859","304","4","2023-12-31"
"860","474","3","2023-02-25"
"861","872","1","2024-06-22"
"862","739","1","2023-05-30"
"863","139","3","2024-11-09"
"864","407","1","2025-04-22"
"865","655","2","2023-08-11"
"866","12","2","2023-02-19"
"867","1111","2","2023-12-14"
"868","275","4","2023-11-18"
"869","1105","1","2025-02-11"
"870","494","1","2025-06-17"
"871","979","4","2025-04-16"
"872","257","1","2024-10-09"
"873","478","2","2026-02-14"
"874","817","3","2023-03-06"
"875","633","1","2024-11-26"
"876","765","2","2025-03-29"
"877","527","1","2024-05-17"
"878","534","3","2023-05-23"
"879","1022","4","2024-08-01"
"880","1037","1","2024-12-15"
"881","444","2","2023-05-26"
"882","655","2","2024-06-08"
"883","1060","2","2025-10-18"
"884","721","2","2023-08-03"
"885","1022","3","2025-12-18"
"886","1020","2","2024-08-10"
"887","770","2","2024-07-07"
"888","977","2","2024-12-28"
"889","938","4","2024-01-30"
"890","685","1","2024-03-27"
"891","243","2","2023-09-02"
"892","1105","2","2025-11-07"
"893","671","1","2025-02-21"
"894","129","2","2025-01-16"
"895","329","2","2025-06-07"
"896","103","2","2026-02-14"
"897","892","2","2023-12-31"
"898","297","2","2025-06-26"
"899","760","3","2023-07-30"
"900","886","1","2024-10-29"
"901","740","1","2025-11-03"
"902","51","2","2024-03-16"
"903","677","3","2025-07-16"
"904","771","2","2023-04-01"
"905","648","1","2026-07-07"
"906","419","3","2025-03-30"
"907","96","4","2026-04-25"
"908","148","1","2025-09-29"
"909","211","1","2023-01-20"
"910","639","3","2023-01-11"
"911","719","1","2024-04-13"
"912","307","2","2024-08-23"
"913","636","2","2025-05-31"
"914","1070","1","2026-01-26"
"915","1023","4","2023-12-04"
"916","606","1","2024-11-21"
"917","1067","3","2023-11-23"
"918","863","1","2024-01-17"
"919","832","1","2026-06-20"
"920","318","2","2024-12-30"
