CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
69,IPC,307,1,1
70,IPC,302,1,1
71,IPC,379,1,1
72,IPC,498A,1,1
73,IPC,354,1,1
73,IPC,302,1,1
74,IPC,307,1,1
75,IPC,354,1,1
75,MVA,185,1,1
76,IPC,307,1,1
76,ITA,66D,1,1
77,IPC,307,1,1
77,IPC,498A,1,1
78,IPC,354,1,1
79,IPC,420,1,1
80,IPC,379,1,1
81,IPC,307,1,1
82,ITA,66D,1,1
82,IPC,302,1,1
83,IPC,498A,1,1
83,ITA,66C,1,1
84,NDPS,20,1,1
84,IPC,498A,1,1
85,IPC,379,1,1
85,IPC,379,1,1
86,NDPS,20,1,1
86,NDPS,20,1,1
87,IPC,354,1,1
87,MVA,185,1,1
88,IPC,392,1,1
89,IPC,354,1,1
90,NDPS,20,1,1
91,IPC,354,1,1
92,IPC,379,1,1
93,ITA,66D,1,1
94,IPC,302,1,1
94,IPC,302,1,1
95,IPC,379,1,1
95,IPC,420,1,1
96,IPC,498A,1,1
96,NDPS,20,1,1
97,IPC,354,1,1
97,IPC,379,1,1
98,IPC,392,1,1
98,IPC,498A,1,1
99,NDPS,20,1,1
100,ITA,66D,1,1
100,IPC,307,1,1
101,IPC,392,1,1
102,IPC,354,1,1
103,MVA,185,1,1
104,IPC,392,1,1
104,IPC,498A,1,1
105,IPC,392,1,1
105,IPC,379,1,1
106,IPC,392,1,1
107,IPC,392,1,1
108,IPC,379,1,1
108,ITA,66C,1,1
109,IPC,392,1,1
109,IPC,379,1,1
110,NDPS,20,1,1
111,MVA,185,1,1
112,IPC,498A,1,1
112,IPC,354,1,1
113,IPC,307,1,1
114,IPC,498A,1,1
114,IPC,302,1,1
115,IPC,307,1,1
116,ITA,66C,1,1
116,IPC,354,1,1
117,IPC,392,1,1
117,IPC,420,1,1
118,IPC,354,1,1
118,IPC,392,1,1
119,ITA,66C,1,1
119,ITA,66D,1,1
120,ITA,66C,1,1
120,IPC,354,1,1
121,IPC,307,1,1
121,IPC,354,1,1
122,IPC,379,1,1
122,IPC,392,1,1
123,NDPS,20,1,1
124,MVA,185,1,1
124,ITA,66D,1,1
125,IPC,392,1,1
125,ITA,66C,1,1
126,IPC,302,1,1
127,ITA,66C,1,1
128,ITA,66D,1,1
128,IPC,498A,1,1
129,IPC,379,1,1
130,IPC,302,1,1
131,IPC,392,1,1
131,IPC,307,1,1
132,IPC,354,1,1
132,IPC,392,1,1
133,IPC,354,1,1
133,MVA,185,1,1
134,ITA,66C,1,1
134,IPC,420,1,1
135,ITA,66C,1,1
135,IPC,420,1,1
136,IPC,379,1,1
137,IPC,302,1,1
138,ITA,66C,1,1
139,IPC,354,1,1
140,IPC,498A,1,1
141,IPC,392,1,1
142,ITA,66C,1,1
143,IPC,498A,1,1
143,IPC,354,1,1
144,IPC,420,1,1
144,IPC,420,1,1
145,ITA,66D,1,1
146,IPC,498A,1,1
147,IPC,302,1,1
148,IPC,307,1,1
148,IPC,420,1,1
149,ITA,66D,1,1
149,IPC,354,1,1
150,IPC,420,1,1
151,IPC,392,1,1
152,IPC,307,1,1
153,IPC,420,1,1
154,IPC,420,1,1
155,ITA,66C,1,1
155,IPC,379,1,1
156,ITA,66C,1,1
156,IPC,307,1,1
157,IPC,354,1,1
157,MVA,185,1,1
158,IPC,302,1,1
158,IPC,420,1,1
159,IPC,302,1,1
160,IPC,302,1,1
161,IPC,379,1,1
162,IPC,392,1,1
162,IPC,307,1,1
163,IPC,420,1,1
164,MVA,185,1,1
164,MVA,185,1,1
165,IPC,420,1,1
165,IPC,498A,1,1
166,ITA,66D,1,1
166,IPC,420,1,1
167,ITA,66C,1,1
167,ITA,66D,1,1
168,IPC,302,1,1
168,IPC,498A,1,1
169,ITA,66C,1,1
170,MVA,185,1,1
170,MVA,185,1,1
171,IPC,302,1,1
171,ITA,66C,1,1
172,IPC,392,1,1
173,MVA,185,1,1
174,IPC,302,1,1
174,IPC,498A,1,1
175,MVA,185,1,1
176,IPC,302,1,1
176,IPC,392,1,1
177,IPC,498A,1,1
178,ITA,66C,1,1
178,IPC,354,1,1
179,IPC,354,1,1
180,NDPS,20,1,1
180,NDPS,20,1,1
181,IPC,354,1,1
181,IPC,420,1,1
182,IPC,379,1,1
183,IPC,354,1,1
184,IPC,354,1,1
184,NDPS,20,1,1
185,NDPS,20,1,1
185,IPC,302,1,1
186,ITA,66C,1,1
187,IPC,354,1,1
187,IPC,420,1,1
188,IPC,307,1,1
189,ITA,66C,1,1
189,IPC,354,1,1
190,MVA,185,1,1
191,IPC,307,1,1
192,ITA,66D,1,1
193,ITA,66C,1,1
194,MVA,185,1,1
194,IPC,379,1,1
195,IPC,392,1,1
195,IPC,302,1,1
196,IPC,379,1,1
197,IPC,302,1,1
198,ITA,66D,1,1
199,IPC,302,1,1
200,IPC,302,1,1
201,NDPS,20,1,1
201,ITA,66D,1,1
202,ITA,66C,1,1
203,IPC,392,1,1
203,IPC,354,1,1
204,IPC,379,1,1
204,IPC,392,1,1
205,IPC,498A,1,1
205,IPC,354,1,1
206,NDPS,20,1,1
207,IPC,392,1,1
207,IPC,354,1,1
208,NDPS,20,1,1
209,IPC,392,1,1
210,IPC,392,1,1
211,IPC,379,1,1
212,IPC,302,1,1
212,NDPS,20,1,1
213,IPC,498A,1,1
214,MVA,185,1,1
215,IPC,354,1,1
215,IPC,379,1,1
216,IPC,379,1,1
217,MVA,185,1,1
218,NDPS,20,1,1
218,IPC,302,1,1
219,IPC,379,1,1
219,ITA,66D,1,1
220,IPC,307,1,1
221,IPC,302,1,1
222,IPC,354,1,1
222,IPC,392,1,1
223,IPC,354,1,1
223,IPC,307,1,1
224,IPC,379,1,1
224,IPC,302,1,1
225,IPC,307,1,1
225,ITA,66D,1,1
226,MVA,185,1,1
226,MVA,185,1,1
227,NDPS,20,1,1
228,ITA,66D,1,1
228,IPC,392,1,1
229,ITA,66C,1,1
230,NDPS,20,1,1
231,IPC,307,1,1
232,ITA,66D,1,1
232,IPC,392,1,1
233,IPC,498A,1,1
234,ITA,66C,1,1
234,IPC,379,1,1
235,IPC,392,1,1
235,ITA,66D,1,1
236,IPC,302,1,1
237,NDPS,20,1,1
237,IPC,392,1,1
238,IPC,302,1,1
239,ITA,66C,1,1
239,IPC,392,1,1
240,IPC,302,1,1
241,IPC,392,1,1
241,IPC,302,1,1
242,NDPS,20,1,1
242,IPC,379,1,1
243,IPC,420,1,1
244,IPC,307,1,1
244,IPC,302,1,1
245,IPC,354,1,1
245,ITA,66C,1,1
246,ITA,66C,1,1
247,IPC,379,1,1
247,IPC,392,1,1
248,MVA,185,1,1
248,IPC,354,1,1
249,IPC,354,1,1
250,IPC,392,1,1
251,IPC,302,1,1
252,IPC,302,1,1
252,IPC,379,1,1
253,IPC,498A,1,1
253,ITA,66D,1,1
254,MVA,185,1,1
254,IPC,420,1,1
255,ITA,66C,1,1
255,IPC,302,1,1
256,IPC,420,1,1
256,IPC,307,1,1
257,IPC,392,1,1
257,ITA,66D,1,1
258,IPC,307,1,1
259,IPC,307,1,1
260,IPC,302,1,1
260,IPC,498A,1,1
261,IPC,420,1,1
262,IPC,379,1,1
263,NDPS,20,1,1
263,IPC,354,1,1
264,IPC,420,1,1
264,IPC,302,1,1
265,IPC,498A,1,1
265,NDPS,20,1,1
266,IPC,307,1,1
266,MVA,185,1,1
267,IPC,302,1,1
268,IPC,498A,1,1
269,NDPS,20,1,1
270,IPC,392,1,1
271,ITA,66C,1,1
272,IPC,392,1,1
273,IPC,392,1,1
273,ITA,66C,1,1
274,IPC,420,1,1
274,IPC,307,1,1
275,IPC,392,1,1
276,IPC,307,1,1
277,ITA,66D,1,1
278,IPC,498A,1,1
278,IPC,420,1,1
279,IPC,392,1,1
279,IPC,307,1,1
280,IPC,354,1,1
280,IPC,420,1,1
281,IPC,420,1,1
282,IPC,302,1,1
282,ITA,66C,1,1
283,IPC,307,1,1
284,IPC,420,1,1
284,IPC,498A,1,1
285,IPC,379,1,1
286,ITA,66C,1,1
286,NDPS,20,1,1
287,IPC,498A,1,1
288,IPC,392,1,1
289,IPC,498A,1,1
290,IPC,354,1,1
291,IPC,420,1,1
291,IPC,392,1,1
292,IPC,354,1,1
292,IPC,307,1,1
293,IPC,379,1,1
294,IPC,420,1,1
295,IPC,307,1,1
296,ITA,66D,1,1
297,IPC,307,1,1
298,IPC,354,1,1
299,MVA,185,1,1
299,IPC,498A,1,1
300,IPC,307,1,1
300,IPC,392,1,1
301,IPC,392,1,1
302,IPC,498A,1,1
302,IPC,498A,1,1
303,IPC,420,1,1
303,NDPS,20,1,1
304,IPC,307,1,1
304,IPC,302,1,1
305,IPC,498A,1,1
305,IPC,379,1,1
306,IPC,302,1,1
307,NDPS,20,1,1
307,MVA,185,1,1
308,MVA,185,1,1
308,IPC,498A,1,1
309,NDPS,20,1,1
309,IPC,392,1,1
310,NDPS,20,1,1
310,NDPS,20,1,1
311,NDPS,20,1,1
311,IPC,302,1,1
312,IPC,307,1,1
312,IPC,420,1,1
313,IPC,307,1,1
314,IPC,379,1,1
315,ITA,66D,1,1
315,IPC,420,1,1
316,MVA,185,1,1
317,IPC,420,1,1
317,ITA,66C,1,1
318,NDPS,20,1,1
319,ITA,66C,1,1
320,IPC,302,1,1
320,IPC,379,1,1
321,IPC,302,1,1
322,MVA,185,1,1
322,IPC,354,1,1
323,IPC,354,1,1
323,ITA,66C,1,1
324,IPC,354,1,1
325,IPC,420,1,1
325,IPC,354,1,1
326,NDPS,20,1,1
326,IPC,498A,1,1
327,IPC,307,1,1
328,IPC,302,1,1
328,IPC,379,1,1
329,IPC,379,1,1
329,IPC,498A,1,1
330,ITA,66D,1,1
331,IPC,392,1,1
331,ITA,66C,1,1
332,IPC,379,1,1
333,IPC,354,1,1
333,ITA,66D,1,1
334,IPC,302,1,1
335,IPC,307,1,1
336,IPC,302,1,1
337,IPC,307,1,1
338,IPC,420,1,1
339,ITA,66C,1,1
340,IPC,498A,1,1
341,IPC,354,1,1
342,IPC,307,1,1
343,MVA,185,1,1
343,NDPS,20,1,1
344,NDPS,20,1,1
344,IPC,498A,1,1
345,NDPS,20,1,1
345,IPC,392,1,1
346,ITA,66D,1,1
346,ITA,66D,1,1
347,IPC,392,1,1
347,MVA,185,1,1
348,ITA,66D,1,1
349,IPC,302,1,1
349,IPC,354,1,1
350,IPC,420,1,1
351,ITA,66D,1,1
352,IPC,302,1,1
353,ITA,66D,1,1
354,IPC,392,1,1
355,ITA,66D,1,1
356,IPC,302,1,1
357,ITA,66C,1,1
358,IPC,354,1,1
358,IPC,302,1,1
359,MVA,185,1,1
359,IPC,392,1,1
360,IPC,420,1,1
361,IPC,379,1,1
361,IPC,379,1,1
362,IPC,307,1,1
363,IPC,498A,1,1
363,IPC,498A,1,1
364,IPC,392,1,1
364,ITA,66D,1,1
365,MVA,185,1,1
365,IPC,498A,1,1
366,NDPS,20,1,1
366,IPC,420,1,1
367,ITA,66C,1,1
367,IPC,302,1,1
368,ITA,66D,1,1
368,IPC,392,1,1
369,IPC,392,1,1
369,IPC,498A,1,1
370,IPC,420,1,1
371,IPC,307,1,1
371,IPC,307,1,1
372,IPC,420,1,1
372,ITA,66C,1,1
373,IPC,302,1,1
373,IPC,354,1,1
374,IPC,307,1,1
374,IPC,307,1,1
375,IPC,392,1,1
375,IPC,498A,1,1
376,IPC,379,1,1
377,NDPS,20,1,1
378,IPC,420,1,1
378,MVA,185,1,1
379,NDPS,20,1,1
379,IPC,354,1,1
380,NDPS,20,1,1
381,IPC,392,1,1
381,MVA,185,1,1
382,IPC,354,1,1
383,MVA,185,1,1
383,NDPS,20,1,1
384,NDPS,20,1,1
385,IPC,379,1,1
385,IPC,354,1,1
386,IPC,498A,1,1
387,ITA,66D,1,1
387,IPC,307,1,1
388,IPC,354,1,1
389,NDPS,20,1,1
390,ITA,66C,1,1
391,IPC,379,1,1
391,IPC,302,1,1
392,IPC,498A,1,1
393,IPC,420,1,1
393,IPC,420,1,1
394,IPC,379,1,1
395,ITA,66C,1,1
396,IPC,498A,1,1
396,IPC,420,1,1
397,IPC,498A,1,1
397,MVA,185,1,1
398,IPC,420,1,1
398,IPC,354,1,1
399,ITA,66C,1,1
399,NDPS,20,1,1
400,IPC,498A,1,1
401,IPC,307,1,1
402,IPC,420,1,1
402,NDPS,20,1,1
403,MVA,185,1,1
404,IPC,379,1,1
405,NDPS,20,1,1
405,MVA,185,1,1
406,MVA,185,1,1
407,IPC,354,1,1
407,IPC,498A,1,1
408,IPC,307,1,1
409,IPC,392,1,1
410,ITA,66D,1,1
411,IPC,392,1,1
412,IPC,354,1,1
412,IPC,354,1,1
413,IPC,302,1,1
414,IPC,302,1,1
414,NDPS,20,1,1
415,IPC,420,1,1
416,NDPS,20,1,1
416,IPC,302,1,1
417,IPC,302,1,1
418,NDPS,20,1,1
418,IPC,307,1,1
419,IPC,354,1,1
419,IPC,392,1,1
420,IPC,307,1,1
421,IPC,354,1,1
421,ITA,66D,1,1
422,IPC,307,1,1
422,ITA,66D,1,1
423,IPC,392,1,1
423,ITA,66D,1,1
424,IPC,392,1,1
424,IPC,307,1,1
425,IPC,302,1,1
425,IPC,307,1,1
426,NDPS,20,1,1
427,ITA,66D,1,1
427,ITA,66D,1,1
428,MVA,185,1,1
428,IPC,307,1,1
429,ITA,66C,1,1
430,IPC,498A,1,1
431,IPC,379,1,1
432,IPC,302,1,1
433,ITA,66C,1,1
434,IPC,379,1,1
434,IPC,354,1,1
435,ITA,66D,1,1
435,IPC,302,1,1
436,NDPS,20,1,1
436,IPC,392,1,1
437,IPC,302,1,1
437,IPC,498A,1,1
438,IPC,379,1,1
439,IPC,302,1,1
440,ITA,66C,1,1
441,MVA,185,1,1
441,IPC,498A,1,1
442,NDPS,20,1,1
442,IPC,379,1,1
443,NDPS,20,1,1
443,IPC,498A,1,1
444,IPC,498A,1,1
445,IPC,498A,1,1
446,IPC,302,1,1
447,IPC,302,1,1
448,IPC,354,1,1
448,NDPS,20,1,1
449,NDPS,20,1,1
450,MVA,185,1,1
451,MVA,185,1,1
452,MVA,185,1,1
452,IPC,392,1,1
453,ITA,66C,1,1
453,IPC,354,1,1
454,NDPS,20,1,1
454,ITA,66C,1,1
455,ITA,66C,1,1
456,IPC,379,1,1
456,IPC,392,1,1
457,IPC,379,1,1
457,IPC,392,1,1
458,ITA,66C,1,1
458,IPC,379,1,1
459,IPC,420,1,1
459,ITA,66C,1,1
460,IPC,379,1,1
461,MVA,185,1,1
462,ITA,66D,1,1
463,MVA,185,1,1
463,IPC,307,1,1
464,IPC,498A,1,1
465,IPC,498A,1,1
465,IPC,307,1,1
466,IPC,302,1,1
467,IPC,302,1,1
468,IPC,302,1,1
469,MVA,185,1,1
469,NDPS,20,1,1
470,ITA,66C,1,1
471,MVA,185,1,1
471,MVA,185,1,1
472,MVA,185,1,1
472,MVA,185,1,1
473,NDPS,20,1,1
473,IPC,498A,1,1
474,IPC,420,1,1
475,IPC,302,1,1
475,IPC,392,1,1
476,IPC,354,1,1
476,IPC,498A,1,1
477,ITA,66C,1,1
477,ITA,66C,1,1
478,NDPS,20,1,1
479,IPC,354,1,1
480,NDPS,20,1,1
481,IPC,498A,1,1
481,ITA,66C,1,1
482,IPC,379,1,1
483,IPC,379,1,1
483,IPC,307,1,1
484,IPC,354,1,1
484,IPC,379,1,1
485,IPC,302,1,1
485,ITA,66C,1,1
486,ITA,66C,1,1
487,IPC,302,1,1
487,IPC,498A,1,1
488,ITA,66C,1,1
489,ITA,66C,1,1
489,IPC,420,1,1
490,ITA,66D,1,1
491,IPC,302,1,1
492,IPC,498A,1,1
493,ITA,66C,1,1
493,IPC,307,1,1
494,IPC,354,1,1
494,IPC,379,1,1
495,MVA,185,1,1
495,IPC,354,1,1
496,IPC,392,1,1
497,IPC,420,1,1
497,IPC,307,1,1
498,ITA,66D,1,1
499,IPC,420,1,1
499,IPC,392,1,1
500,IPC,498A,1,1
501,IPC,302,1,1
501,IPC,392,1,1
502,MVA,185,1,1
502,IPC,498A,1,1
503,MVA,185,1,1
503,MVA,185,1,1
504,MVA,185,1,1
504,ITA,66C,1,1
505,IPC,392,1,1
505,IPC,302,1,1
506,IPC,392,1,1
507,IPC,498A,1,1
507,ITA,66D,1,1
508,IPC,354,1,1
508,IPC,498A,1,1
509,ITA,66C,1,1
510,IPC,392,1,1
510,IPC,354,1,1
511,MVA,185,1,1
512,MVA,185,1,1
513,IPC,302,1,1
513,IPC,498A,1,1
514,IPC,498A,1,1
514,IPC,379,1,1
515,IPC,302,1,1
515,IPC,302,1,1
516,MVA,185,1,1
516,NDPS,20,1,1
517,MVA,185,1,1
518,IPC,498A,1,1
518,IPC,379,1,1
519,IPC,498A,1,1
519,IPC,498A,1,1
520,ITA,66D,1,1
520,IPC,420,1,1
521,IPC,302,1,1
521,ITA,66C,1,1
522,IPC,354,1,1
522,IPC,379,1,1
523,IPC,420,1,1
524,IPC,379,1,1
524,ITA,66D,1,1
525,IPC,307,1,1
526,IPC,379,1,1
526,IPC,392,1,1
527,IPC,392,1,1
527,MVA,185,1,1
528,ITA,66C,1,1
529,NDPS,20,1,1
530,IPC,420,1,1
531,IPC,379,1,1
531,IPC,379,1,1
532,IPC,302,1,1
532,IPC,354,1,1
533,MVA,185,1,1
533,IPC,302,1,1
534,ITA,66D,1,1
535,NDPS,20,1,1
535,IPC,420,1,1
536,IPC,498A,1,1
536,IPC,354,1,1
537,ITA,66C,1,1
538,ITA,66D,1,1
538,IPC,354,1,1
539,IPC,498A,1,1
540,IPC,354,1,1
540,IPC,420,1,1
541,IPC,420,1,1
541,ITA,66C,1,1
542,IPC,498A,1,1
542,IPC,498A,1,1
543,IPC,379,1,1
544,ITA,66D,1,1
545,NDPS,20,1,1
546,ITA,66D,1,1
547,IPC,498A,1,1
548,NDPS,20,1,1
549,IPC,302,1,1
550,IPC,302,1,1
550,IPC,392,1,1
551,IPC,498A,1,1
552,IPC,420,1,1
552,IPC,302,1,1
553,NDPS,20,1,1
553,ITA,66C,1,1
554,IPC,379,1,1
554,IPC,420,1,1
555,IPC,379,1,1
555,IPC,302,1,1
556,IPC,420,1,1
557,IPC,379,1,1
557,ITA,66C,1,1
558,IPC,392,1,1
559,IPC,302,1,1
559,IPC,302,1,1
560,IPC,498A,1,1
560,ITA,66D,1,1
561,IPC,392,1,1
561,NDPS,20,1,1
562,IPC,420,1,1
563,IPC,420,1,1
563,IPC,307,1,1
564,IPC,498A,1,1
565,IPC,379,1,1
566,IPC,302,1,1
566,IPC,379,1,1
567,IPC,498A,1,1
568,IPC,392,1,1
569,IPC,392,1,1
569,IPC,392,1,1
570,IPC,379,1,1
571,MVA,185,1,1
571,ITA,66C,1,1
572,IPC,498A,1,1
572,ITA,66C,1,1
573,MVA,185,1,1
573,IPC,392,1,1
574,IPC,307,1,1
575,NDPS,20,1,1
576,IPC,302,1,1
576,IPC,392,1,1
577,MVA,185,1,1
577,IPC,379,1,1
578,IPC,392,1,1
578,MVA,185,1,1
579,IPC,392,1,1
580,IPC,498A,1,1
580,IPC,498A,1,1
581,IPC,302,1,1
582,NDPS,20,1,1
583,IPC,420,1,1
583,MVA,185,1,1
584,MVA,185,1,1
585,NDPS,20,1,1
586,MVA,185,1,1
586,IPC,307,1,1
587,NDPS,20,1,1
587,IPC,354,1,1
588,IPC,354,1,1
588,ITA,66C,1,1
589,NDPS,20,1,1
589,IPC,354,1,1
590,IPC,307,1,1
590,IPC,379,1,1
591,IPC,354,1,1
591,NDPS,20,1,1
592,IPC,379,1,1
593,NDPS,20,1,1
593,ITA,66D,1,1
594,IPC,307,1,1
594,IPC,302,1,1
595,IPC,498A,1,1
595,MVA,185,1,1
596,IPC,307,1,1
597,IPC,392,1,1
597,IPC,379,1,1
598,IPC,392,1,1
599,IPC,307,1,1
599,NDPS,20,1,1
600,ITA,66C,1,1
600,IPC,392,1,1
601,NDPS,20,1,1
602,NDPS,20,1,1
602,NDPS,20,1,1
603,IPC,354,1,1
603,MVA,185,1,1
604,IPC,307,1,1
604,IPC,379,1,1
605,MVA,185,1,1
605,IPC,379,1,1
606,IPC,379,1,1
607,MVA,185,1,1
608,ITA,66C,1,1
609,IPC,307,1,1
610,IPC,392,1,1
610,IPC,354,1,1
611,IPC,379,1,1
612,ITA,66D,1,1
613,IPC,420,1,1
613,ITA,66C,1,1
614,ITA,66C,1,1
615,MVA,185,1,1
616,ITA,66D,1,1
617,ITA,66D,1,1
618,MVA,185,1,1
619,IPC,392,1,1
619,IPC,354,1,1
620,IPC,307,1,1
620,ITA,66C,1,1
621,IPC,302,1,1
622,MVA,185,1,1
623,IPC,379,1,1
623,IPC,392,1,1
624,MVA,185,1,1
625,IPC,420,1,1
626,MVA,185,1,1
626,NDPS,20,1,1
627,IPC,392,1,1
627,IPC,354,1,1
628,IPC,307,1,1
628,ITA,66D,1,1
629,IPC,307,1,1
630,NDPS,20,1,1
630,IPC,302,1,1
631,IPC,354,1,1
632,NDPS,20,1,1
633,IPC,498A,1,1
634,IPC,420,1,1
635,ITA,66C,1,1
636,ITA,66C,1,1
636,MVA,185,1,1
637,IPC,379,1,1
637,IPC,498A,1,1
638,IPC,392,1,1
638,ITA,66D,1,1
639,ITA,66D,1,1
639,ITA,66D,1,1
640,MVA,185,1,1
641,ITA,66C,1,1
641,IPC,379,1,1
642,ITA,66D,1,1
643,MVA,185,1,1
643,IPC,302,1,1
644,IPC,302,1,1
645,IPC,302,1,1
645,ITA,66C,1,1
646,IPC,307,1,1
646,IPC,420,1,1
647,NDPS,20,1,1
648,NDPS,20,1,1
649,ITA,66C,1,1
650,NDPS,20,1,1
651,MVA,185,1,1
651,NDPS,20,1,1
652,IPC,392,1,1
653,IPC,498A,1,1
653,NDPS,20,1,1
654,ITA,66C,1,1
654,ITA,66C,1,1
655,IPC,307,1,1
656,IPC,498A,1,1
656,NDPS,20,1,1
657,IPC,420,1,1
658,IPC,302,1,1
659,IPC,354,1,1
660,MVA,185,1,1
661,NDPS,20,1,1
661,IPC,420,1,1
662,IPC,302,1,1
662,ITA,66D,1,1
663,ITA,66C,1,1
664,ITA,66D,1,1
665,NDPS,20,1,1
665,IPC,498A,1,1
666,IPC,392,1,1
666,IPC,498A,1,1
667,ITA,66C,1,1
668,IPC,379,1,1
669,IPC,392,1,1
669,ITA,66C,1,1
670,MVA,185,1,1
671,NDPS,20,1,1
671,IPC,379,1,1
672,IPC,307,1,1
672,MVA,185,1,1
673,ITA,66D,1,1
674,IPC,392,1,1
675,IPC,354,1,1
676,ITA,66C,1,1
677,ITA,66D,1,1
678,IPC,420,1,1
679,IPC,307,1,1
679,NDPS,20,1,1
680,IPC,392,1,1
681,IPC,379,1,1
682,MVA,185,1,1
682,IPC,498A,1,1
683,IPC,307,1,1
684,IPC,379,1,1
685,NDPS,20,1,1
685,ITA,66D,1,1
686,ITA,66D,1,1
686,NDPS,20,1,1
687,IPC,354,1,1
688,IPC,354,1,1
688,ITA,66C,1,1
689,IPC,392,1,1
689,IPC,498A,1,1
690,IPC,379,1,1
691,IPC,420,1,1
692,ITA,66D,1,1
693,ITA,66C,1,1
693,IPC,498A,1,1
694,ITA,66C,1,1
695,MVA,185,1,1
696,IPC,379,1,1
696,IPC,498A,1,1
697,ITA,66D,1,1
698,IPC,302,1,1
699,IPC,392,1,1
700,IPC,302,1,1
701,IPC,392,1,1
701,IPC,498A,1,1
702,IPC,354,1,1
702,IPC,302,1,1
703,IPC,392,1,1
704,IPC,498A,1,1
704,IPC,420,1,1
705,IPC,420,1,1
705,NDPS,20,1,1
706,IPC,302,1,1
706,NDPS,20,1,1
707,ITA,66D,1,1
707,IPC,420,1,1
708,IPC,420,1,1
708,ITA,66C,1,1
709,IPC,420,1,1
710,IPC,392,1,1
710,IPC,420,1,1
711,IPC,354,1,1
712,ITA,66D,1,1
713,IPC,498A,1,1
713,IPC,302,1,1
714,MVA,185,1,1
714,IPC,302,1,1
715,IPC,420,1,1
716,NDPS,20,1,1
716,NDPS,20,1,1
717,ITA,66C,1,1
717,IPC,392,1,1
718,ITA,66C,1,1
719,NDPS,20,1,1
719,IPC,354,1,1
720,MVA,185,1,1
720,IPC,307,1,1
721,IPC,307,1,1
722,IPC,307,1,1
723,NDPS,20,1,1
723,IPC,420,1,1
724,ITA,66D,1,1
725,IPC,302,1,1
725,IPC,498A,1,1
726,ITA,66C,1,1
726,NDPS,20,1,1
727,IPC,307,1,1
728,IPC,420,1,1
728,IPC,392,1,1
729,IPC,379,1,1
729,MVA,185,1,1
730,ITA,66C,1,1
731,IPC,392,1,1
732,IPC,379,1,1
732,MVA,185,1,1
733,IPC,307,1,1
734,IPC,307,1,1
735,IPC,379,1,1
736,IPC,379,1,1
737,IPC,307,1,1
737,IPC,354,1,1
738,IPC,302,1,1
738,IPC,498A,1,1
739,MVA,185,1,1
739,IPC,302,1,1
740,IPC,354,1,1
740,NDPS,20,1,1
741,IPC,354,1,1
742,IPC,420,1,1
742,MVA,185,1,1
743,IPC,302,1,1
743,IPC,307,1,1
744,IPC,302,1,1
744,IPC,498A,1,1
745,MVA,185,1,1
745,NDPS,20,1,1
746,IPC,498A,1,1
746,IPC,392,1,1
747,IPC,302,1,1
