CSID,CaseMasterID,csdate,cstype,PolicePersonID
237,772,2025-05-15T00:00:00,A,1119
238,774,2025-06-11T00:00:00,A,157
239,778,2024-03-22T00:00:00,A,606
240,781,2023-12-16T00:00:00,A,698
241,782,2025-07-12T00:00:00,A,672
242,784,2026-04-26T00:00:00,A,1361
243,789,2023-07-18T00:00:00,A,1301
244,792,2026-05-03T00:00:00,A,57
245,793,2025-05-17T00:00:00,A,1791
246,799,2023-04-02T00:00:00,A,780
247,801,2025-09-28T00:00:00,A,1194
248,805,2023-03-13T00:00:00,C,153
249,808,2023-03-07T00:00:00,A,2019
250,812,2026-08-27T00:00:00,A,669
251,814,2023-10-25T00:00:00,B,874
252,816,2024-05-22T00:00:00,A,401
253,817,2025-11-10T00:00:00,A,917
254,818,2025-12-19T00:00:00,A,2494
255,820,2024-10-10T00:00:00,C,371
256,823,2025-05-12T00:00:00,C,864
257,825,2025-11-14T00:00:00,A,458
258,828,2024-08-06T00:00:00,A,2019
259,829,2024-11-19T00:00:00,B,551
260,830,2024-11-18T00:00:00,A,2329
261,831,2023-05-27T00:00:00,C,1295
262,837,2023-11-11T00:00:00,B,1256
263,839,2025-01-16T00:00:00,A,887
264,840,2025-09-06T00:00:00,A,536
265,843,2023-08-20T00:00:00,B,2365
266,844,2026-04-12T00:00:00,A,1506
267,845,2023-06-08T00:00:00,A,1838
268,856,2023-03-30T00:00:00,A,454
269,858,2024-07-28T00:00:00,A,1381
270,865,2023-10-11T00:00:00,A,442
271,866,2023-04-28T00:00:00,B,1555
272,867,2024-02-25T00:00:00,A,1912
273,873,2026-04-08T00:00:00,A,970
274,876,2025-05-24T00:00:00,C,243
275,881,2023-08-06T00:00:00,A,2500
276,882,2024-08-18T00:00:00,A,1903
277,883,2025-11-23T00:00:00,A,782
278,884,2023-10-22T00:00:00,A,680
279,886,2024-10-30T00:00:00,A,734
280,887,2024-08-14T00:00:00,C,721
281,888,2025-02-21T00:00:00,A,1529
282,891,2023-11-01T00:00:00,A,1815
283,892,2025-12-12T00:00:00,A,888
284,894,2025-03-26T00:00:00,C,989
285,895,2025-09-01T00:00:00,B,87
286,896,2026-03-21T00:00:00,A,1412
287,897,2024-03-23T00:00:00,A,1245
288,898,2025-08-01T00:00:00,A,225
289,902,2024-06-09T00:00:00,A,1818
290,904,2023-05-27T00:00:00,C,2479
291,912,2024-10-15T00:00:00,A,383
292,913,2025-07-22T00:00:00,A,1098
293,920,2025-03-20T00:00:00,B,699
294,926,2023-03-02T00:00:00,B,916
295,927,2024-09-06T00:00:00,B,2277
296,930,2026-06-13T00:00:00,A,712
297,936,2024-03-07T00:00:00,A,1653
298,943,2023-07-21T00:00:00,A,669
299,947,2023-03-06T00:00:00,A,1340
300,958,2025-11-01T00:00:00,A,1356
301,962,2023-11-02T00:00:00,A,1618
302,964,2024-06-02T00:00:00,B,376
303,965,2025-06-29T00:00:00,C,2140
304,973,2026-06-07T00:00:00,A,520
305,974,2023-06-14T00:00:00,A,983
306,979,2024-09-02T00:00:00,A,330
307,981,2024-10-01T00:00:00,A,1276
308,986,2024-09-20T00:00:00,A,1160
309,993,2023-04-28T00:00:00,B,1834
310,995,2024-04-04T00:00:00,A,2234
311,1002,2024-02-15T00:00:00,A,1130
312,1003,2024-11-09T00:00:00,B,1524
313,1009,2023-06-20T00:00:00,A,701
314,1011,2026-07-13T00:00:00,A,82
315,1015,2024-03-20T00:00:00,A,5
316,1017,2025-04-05T00:00:00,A,1689
317,1018,2024-06-22T00:00:00,C,254
318,1025,2026-09-24T00:00:00,B,1957
319,1026,2025-02-25T00:00:00,A,1961
320,1033,2024-12-14T00:00:00,A,1197
321,1034,2025-04-23T00:00:00,A,1929
322,1036,2024-03-01T00:00:00,A,430
323,1038,2026-06-16T00:00:00,C,194
324,1039,2023-05-06T00:00:00,A,1491
325,1042,2025-01-18T00:00:00,A,786
326,1047,2023-09-12T00:00:00,A,758
327,1057,2024-11-17T00:00:00,A,885
328,1059,2026-09-14T00:00:00,A,2216
329,1062,2025-07-17T00:00:00,B,1331
330,1066,2024-06-30T00:00:00,A,797
331,1069,2024-11-07T00:00:00,A,1983
332,1070,2023-09-04T00:00:00,A,281
333,1080,2023-11-19T00:00:00,A,1992
334,1082,2024-08-29T00:00:00,A,136
335,1084,2023-05-28T00:00:00,A,1245
336,1085,2024-04-01T00:00:00,C,218
337,1088,2024-11-27T00:00:00,A,949
338,1090,2024-12-14T00:00:00,A,2013
339,1092,2025-07-26T00:00:00,A,1241
340,1096,2024-12-12T00:00:00,A,1130
341,1100,2025-07-19T00:00:00,A,1535
342,1101,2024-12-28T00:00:00,A,1069
343,1105,2026-07-18T00:00:00,B,1714
344,1106,2023-11-18T00:00:00,A,180
345,1107,2023-09-24T00:00:00,A,1054
346,1110,2025-01-10T00:00:00,A,1498
347,1122,2024-10-02T00:00:00,A,2305
348,1124,2025-09-17T00:00:00,B,1268
349,1125,2023-06-28T00:00:00,A,14
350,1126,2023-12-05T00:00:00,A,1552
351,1131,2025-01-10T00:00:00,B,525
352,1134,2026-07-11T00:00:00,A,93
353,1139,2026-06-09T00:00:00,A,1513
354,1140,2025-08-20T00:00:00,A,2244
355,1141,2024-01-14T00:00:00,A,2251
356,1143,2025-08-03T00:00:00,B,322
357,1148,2025-08-21T00:00:00,A,2015
358,1153,2026-01-01T00:00:00,A,1913
359,1156,2023-07-03T00:00:00,B,1738
360,1159,2024-06-03T00:00:00,A,1125
361,1167,2025-03-09T00:00:00,B,1763
362,1168,2023-08-30T00:00:00,A,88
363,1174,2024-01-10T00:00:00,A,2128
364,1175,2023-12-04T00:00:00,B,2238
365,1184,2025-12-12T00:00:00,A,1260
366,1190,2026-07-15T00:00:00,A,2308
367,1192,2026-07-25T00:00:00,A,1456
368,1195,2024-05-05T00:00:00,A,1711
369,1207,2024-04-10T00:00:00,C,1265
370,1209,2024-05-16T00:00:00,A,685
371,1219,2025-05-08T00:00:00,A,390
372,1225,2024-01-06T00:00:00,A,429
373,1236,2026-04-03T00:00:00,C,1471
374,1237,2024-12-31T00:00:00,B,1969
375,1239,2025-10-26T00:00:00,A,2085
376,1240,2025-03-10T00:00:00,A,1992
377,1241,2024-08-12T00:00:00,A,1364
378,1242,2026-06-20T00:00:00,A,2460
379,1243,2026-07-17T00:00:00,A,1555
380,1244,2024-04-03T00:00:00,A,568
381,1249,2026-04-25T00:00:00,A,1282
382,1256,2023-08-25T00:00:00,A,324
383,1257,2024-04-01T00:00:00,A,1073
384,1261,2025-08-02T00:00:00,A,1271
385,1267,2024-08-23T00:00:00,A,185
386,1272,2024-10-19T00:00:00,A,574
387,1282,2025-07-04T00:00:00,A,1017
388,1285,2023-11-19T00:00:00,A,1598
389,1286,2025-12-21T00:00:00,A,2373
390,1287,2023-05-06T00:00:00,A,1642
391,1288,2023-10-10T00:00:00,C,236
392,1289,2023-10-01T00:00:00,A,30
393,1302,2024-10-15T00:00:00,C,484
394,1306,2024-11-08T00:00:00,C,1000
395,1307,2023-06-03T00:00:00,A,1748
396,1310,2025-10-22T00:00:00,A,2369
397,1312,2026-06-07T00:00:00,A,1213
398,1317,2025-06-14T00:00:00,A,7
399,1326,2025-01-01T00:00:00,A,803
400,1328,2024-04-05T00:00:00,B,1588
401,1331,2026-07-23T00:00:00,A,791
402,1338,2023-03-05T00:00:00,A,1978
403,1339,2026-02-02T00:00:00,A,1112
404,1342,2024-11-09T00:00:00,C,1745
405,1343,2023-05-02T00:00:00,A,1266
406,1344,2025-08-11T00:00:00,A,2048
407,1345,2025-02-24T00:00:00,B,663
408,1349,2026-08-02T00:00:00,A,2407
409,1350,2025-11-18T00:00:00,A,248
410,1355,2024-11-21T00:00:00,A,2025
411,1357,2025-03-19T00:00:00,A,820
412,1358,2024-12-01T00:00:00,A,1673
413,1359,2026-07-12T00:00:00,A,1699
414,1362,2025-02-19T00:00:00,A,26
415,1364,2026-06-06T00:00:00,A,1218
416,1368,2026-04-13T00:00:00,A,446
417,1377,2025-02-08T00:00:00,A,1801
418,1378,2023-12-03T00:00:00,A,1610
419,1381,2023-12-10T00:00:00,A,1279
420,1387,2025-12-03T00:00:00,A,357
421,1388,2025-01-01T00:00:00,A,97
422,1395,2025-12-15T00:00:00,A,1987
423,1400,2024-05-15T00:00:00,A,157
424,1402,2025-09-29T00:00:00,A,1128
425,1405,2023-09-09T00:00:00,A,1587
426,1406,2023-11-29T00:00:00,A,1003
427,1415,2026-01-06T00:00:00,A,1188
428,1420,2023-06-26T00:00:00,A,539
429,1421,2026-04-13T00:00:00,A,490
430,1424,2023-05-04T00:00:00,A,2340
431,1426,2023-10-27T00:00:00,A,1270
432,1427,2023-03-14T00:00:00,A,1823
433,1428,2024-04-04T00:00:00,A,143
434,1431,2024-01-16T00:00:00,B,1947
435,1437,2025-08-04T00:00:00,A,1976
436,1440,2024-04-06T00:00:00,A,1852
437,1447,2026-07-02T00:00:00,A,1207
438,1448,2026-09-16T00:00:00,A,2406
439,1449,2023-06-17T00:00:00,A,359
440,1453,2023-07-08T00:00:00,A,352
441,1455,2023-06-02T00:00:00,C,1635
442,1456,2026-03-05T00:00:00,A,1887
443,1457,2024-09-27T00:00:00,A,1391
444,1461,2026-08-03T00:00:00,A,1456
445,1462,2025-12-22T00:00:00,A,2326
446,1469,2026-04-21T00:00:00,A,1510
447,1475,2025-12-21T00:00:00,C,1069
448,1476,2023-05-14T00:00:00,A,2290
449,1489,2025-01-06T00:00:00,A,1762
450,1490,2023-09-13T00:00:00,A,330
451,1500,2025-08-26T00:00:00,A,301
452,1502,2025-08-02T00:00:00,A,2473
453,1504,2025-11-29T00:00:00,A,1731
454,1506,2025-03-13T00:00:00,A,2354
455,1511,2025-10-15T00:00:00,A,254
456,1520,2025-09-05T00:00:00,A,966
457,1522,2026-02-25T00:00:00,A,364
458,1524,2023-08-16T00:00:00,A,1571
459,1526,2023-12-11T00:00:00,A,1576
460,1528,2025-04-18T00:00:00,A,613
461,1531,2026-06-08T00:00:00,A,971
462,1538,2024-01-12T00:00:00,A,2103
463,1541,2025-10-29T00:00:00,C,1577
464,1543,2024-06-13T00:00:00,A,1309
465,1545,2024-06-03T00:00:00,B,772
466,1546,2025-07-15T00:00:00,A,1513
467,1551,2024-06-15T00:00:00,A,1906
468,1558,2026-03-27T00:00:00,A,68
469,1559,2024-02-17T00:00:00,A,93
470,1567,2024-08-11T00:00:00,A,2362
471,1571,2026-04-16T00:00:00,A,2429
472,1573,2025-07-20T00:00:00,A,1511
473,1574,2026-01-24T00:00:00,C,609
474,1577,2026-04-04T00:00:00,B,589
475,1579,2025-02-10T00:00:00,A,1076
476,1580,2025-06-28T00:00:00,A,1018
477,1583,2023-12-22T00:00:00,A,1824
478,1585,2023-09-12T00:00:00,A,1322
479,1588,2024-08-23T00:00:00,A,409
480,1598,2025-09-30T00:00:00,C,1676
481,1599,2026-01-15T00:00:00,A,1461
482,1600,2026-08-31T00:00:00,A,1737
483,1604,2026-09-16T00:00:00,A,958
484,1606,2024-10-23T00:00:00,A,1323
485,1608,2025-04-17T00:00:00,A,551
486,1610,2023-03-19T00:00:00,A,1940
487,1611,2026-03-08T00:00:00,A,1445
488,1616,2026-02-05T00:00:00,A,800
489,1618,2025-03-22T00:00:00,B,1512
490,1622,2023-12-20T00:00:00,A,810
491,1623,2024-12-12T00:00:00,A,1156
492,1629,2023-11-29T00:00:00,A,39
493,1635,2024-02-21T00:00:00,A,561
494,1637,2026-01-06T00:00:00,C,674
495,1638,2024-04-03T00:00:00,A,1353
496,1639,2024-10-14T00:00:00,A,928
497,1654,2023-05-30T00:00:00,A,1583
498,1656,2024-01-24T00:00:00,A,209
499,1660,2026-08-08T00:00:00,A,179
500,1669,2025-11-28T00:00:00,A,1765
501,1671,2026-05-03T00:00:00,A,1815
502,1680,2025-02-20T00:00:00,A,1285
503,1681,2026-03-09T00:00:00,B,1957
504,1686,2026-06-16T00:00:00,A,1720
505,1691,2024-11-11T00:00:00,A,2029
506,1696,2025-09-10T00:00:00,A,374
507,1699,2025-10-04T00:00:00,A,29
508,1702,2024-07-23T00:00:00,B,561
509,1704,2025-07-08T00:00:00,A,30
510,1706,2024-08-29T00:00:00,B,1491
511,1708,2023-05-03T00:00:00,A,1248
512,1710,2025-06-12T00:00:00,B,410
513,1712,2023-04-27T00:00:00,A,211
514,1715,2023-05-22T00:00:00,B,200
515,1717,2025-11-03T00:00:00,A,2124
516,1720,2025-06-02T00:00:00,C,846
517,1721,2023-04-13T00:00:00,A,636
518,1725,2025-11-19T00:00:00,A,750
519,1727,2025-10-08T00:00:00,B,1798
520,1730,2025-03-06T00:00:00,C,153
521,1731,2023-06-20T00:00:00,A,1533
522,1734,2023-04-19T00:00:00,A,816
523,1745,2024-01-13T00:00:00,A,91
524,1746,2024-09-17T00:00:00,A,516
525,1751,2024-06-08T00:00:00,B,2152
526,1753,2024-03-07T00:00:00,C,2193
527,1761,2024-09-05T00:00:00,A,816
528,1763,2023-12-14T00:00:00,A,1961
529,1764,2023-09-18T00:00:00,A,781
530,1765,2024-01-05T00:00:00,A,2173
531,1769,2026-02-05T00:00:00,A,381
532,1770,2023-04-13T00:00:00,A,148
533,1776,2024-08-02T00:00:00,A,235
534,1778,2025-08-19T00:00:00,A,723
535,1779,2025-09-29T00:00:00,B,1480
536,1780,2024-10-31T00:00:00,A,1215
537,1784,2023-06-18T00:00:00,A,1473
538,1786,2024-07-19T00:00:00,A,849
539,1791,2025-07-14T00:00:00,A,2237
540,1792,2026-02-24T00:00:00,A,776
541,1799,2025-12-15T00:00:00,A,2464
542,1800,2024-06-15T00:00:00,A,1573
543,1801,2026-01-28T00:00:00,A,981
544,1809,2025-04-04T00:00:00,A,2187
545,1810,2025-07-27T00:00:00,A,1981
546,1815,2023-09-15T00:00:00,A,1961
547,1818,2023-04-19T00:00:00,A,8
548,1819,2023-03-17T00:00:00,A,1999
549,1821,2024-01-16T00:00:00,A,372
550,1822,2026-03-11T00:00:00,B,1486
551,1827,2026-01-28T00:00:00,A,1960
552,1833,2025-05-20T00:00:00,A,1328
553,1838,2023-10-30T00:00:00,A,93
554,1840,2026-10-03T00:00:00,A,2470
555,1843,2023-06-30T00:00:00,A,2295
556,1844,2026-09-14T00:00:00,A,2207
557,1845,2025-01-27T00:00:00,A,2481
558,1846,2025-07-07T00:00:00,A,60
559,1853,2025-12-07T00:00:00,C,244
560,1856,2023-06-24T00:00:00,C,2271
561,1860,2026-02-27T00:00:00,C,646
562,1862,2025-10-02T00:00:00,A,2458
563,1866,2025-06-08T00:00:00,A,270
564,1872,2023-10-26T00:00:00,C,1781
565,1878,2024-07-17T00:00:00,A,1144
566,1880,2025-10-07T00:00:00,A,766
567,1885,2025-12-24T00:00:00,B,1676
568,1887,2026-08-24T00:00:00,A,1784
569,1889,2023-12-11T00:00:00,A,1789
570,1892,2025-07-17T00:00:00,A,1857
571,1895,2026-03-17T00:00:00,C,1942
572,1902,2024-04-30T00:00:00,B,1352
573,1908,2024-07-29T00:00:00,A,2282
574,1909,2026-07-17T00:00:00,A,1956
575,1912,2026-02-03T00:00:00,A,35
576,1917,2026-01-06T00:00:00,B,1949
577,1918,2025-01-28T00:00:00,A,2289
578,1921,2025-07-30T00:00:00,A,1138
579,1925,2025-02-19T00:00:00,A,258
580,1927,2025-10-11T00:00:00,A,1475
581,1933,2026-08-10T00:00:00,A,714
582,1935,2024-05-08T00:00:00,B,308
583,1941,2026-08-07T00:00:00,A,1308
584,1944,2026-08-06T00:00:00,A,1527
585,1946,2024-10-24T00:00:00,A,1817
586,1948,2026-04-08T00:00:00,A,162
587,1951,2023-10-26T00:00:00,A,1947
588,1955,2023-06-28T00:00:00,A,332
589,1960,2024-09-10T00:00:00,A,2399
590,1962,2024-05-04T00:00:00,A,2037
591,1963,2024-09-11T00:00:00,A,919
592,1965,2024-03-30T00:00:00,B,413
593,1971,2024-06-22T00:00:00,A,697
594,1972,2026-04-16T00:00:00,A,1904
595,1981,2026-07-03T00:00:00,A,904
596,1982,2026-09-20T00:00:00,C,2267
597,1988,2025-03-17T00:00:00,A,2016
598,1991,2023-09-30T00:00:00,A,787
599,1997,2026-08-24T00:00:00,B,1032
600,2000,2025-03-04T00:00:00,A,203
601,2003,2025-11-09T00:00:00,A,1585
602,2006,2023-07-28T00:00:00,A,869
603,2007,2023-09-18T00:00:00,A,76
604,2013,2026-03-06T00:00:00,B,1146
605,2016,2025-08-19T00:00:00,A,194
606,2019,2026-09-16T00:00:00,A,172
607,2022,2026-05-22T00:00:00,C,1604
608,2024,2025-04-07T00:00:00,A,431
609,2026,2025-10-03T00:00:00,A,1612
610,2032,2026-04-05T00:00:00,B,1530
611,2039,2023-11-21T00:00:00,A,1406
612,2040,2024-05-30T00:00:00,A,515
613,2048,2023-12-21T00:00:00,A,648
614,2053,2025-05-19T00:00:00,A,289
615,2055,2026-07-09T00:00:00,A,317
616,2056,2025-02-24T00:00:00,A,982
617,2057,2026-06-13T00:00:00,A,953
618,2060,2023-06-19T00:00:00,A,2237
619,2061,2023-03-09T00:00:00,C,732
620,2067,2025-01-05T00:00:00,A,1615
621,2072,2026-04-19T00:00:00,B,439
622,2074,2024-09-20T00:00:00,C,1522
623,2077,2026-08-11T00:00:00,A,2019
624,2080,2024-03-15T00:00:00,A,1360
625,2086,2026-08-21T00:00:00,B,2108
626,2089,2026-05-27T00:00:00,B,8
627,2093,2024-01-11T00:00:00,C,1144
628,2099,2023-08-23T00:00:00,A,1157
629,2104,2026-08-29T00:00:00,C,1904
630,2107,2025-11-29T00:00:00,A,44
